GOA	RepOver	RepCov	Gene	Locus	GeneLen	Product
NA	12	3598	NA	SWSSV_gp001	5055	collagen-like protein
NA	0	0	NA	SWSSV_gp002	627	envelope protein
NA	0	0	NA	SWSSV_gp003	315	hypothetical protein
NA	3	135	NA	SWSSV_gp004	888	hypothetical protein
NA	0	0	NA	SWSSV_gp005	288	envelope protein
NA	0	0	NA	SWSSV_gp006	294	envelope protein
NA	3	106	NA	SWSSV_gp007	3906	envelope protein
NA	0	0	NA	SWSSV_gp008	603	hypothetical protein
NA	0	0	NA	SWSSV_gp009	861	hypothetical protein
NA	0	0	NA	SWSSV_gp010	696	hypothetical protein
NA	0	0	NA	SWSSV_gp011	4608	hypothetical protein
NA	0	0	NA	SWSSV_gp012	2919	envelope protein
NA	0	0	NA	SWSSV_gp013	3843	hypothetical protein
NA	1	70	NA	SWSSV_gp014	2946	hypothetical protein
NA	0	0	NA	SWSSV_gp015	591	hypothetical protein
NA	0	0	NA	SWSSV_gp016	681	immediate-early protein
NA	0	0	NA	SWSSV_gp017	627	hypothetical protein
NA	0	0	NA	SWSSV_gp018	2532	hypothetical protein
NA	0	0	NA	SWSSV_gp019	870	thymidylate synthetase
NA	0	0	NA	SWSSV_gp020	675	immediate-early protein
NA	0	0	NA	SWSSV_gp021	1269	hypothetical protein
NA	1	35	NA	SWSSV_gp022	831	hypothetical protein
NA	0	0	NA	SWSSV_gp023	894	hypothetical protein
NA	1	31	NA	SWSSV_gp024	1197	immediate-early protein
NA	1	37	NA	SWSSV_gp025	1536	immediate-early protein
NA	0	0	NA	SWSSV_gp026	1746	protein kinase, immediate-early protein
NA	0	0	NA	SWSSV_gp027	447	hypothetical protein
NA	0	0	NA	SWSSV_gp028	378	hypothetical protein
NA	6	395	NA	SWSSV_gp029	3438	immediate-early protein
NA	1	85	NA	SWSSV_gp030	1875	putative CREB-binding protein, immediate-early protein
NA	2	196	NA	SWSSV_gp031	231	hypothetical protein
NA	0	0	NA	SWSSV_gp032	312	hypothetical protein
NA	0	0	NA	SWSSV_gp033	690	hypothetical protein
NA	0	0	NA	SWSSV_gp034	558	hypothetical protein
NA	1	37	NA	SWSSV_gp035	1386	dUTPase
NA	0	0	NA	SWSSV_gp036	2907	hypothetical protein
NA	3	106	NA	SWSSV_gp037	3135	hypothetical protein
NA	0	0	NA	SWSSV_gp038	306	hypothetical protein
NA	5	2872	NA	SWSSV_gp039	1515	hypothetical protein
