GOA	RepOver	RepCov	Gene	Locus	GeneLen	Product
NA	0	0	pol	MdSGHV001	2934	DNA polymerase
NA	0	0	NA	MdSGHV002	582	hypothetical protein
NA	0	0	NA	MdSGHV003	471	hypothetical protein
NA	0	0	NA	MdSGHV004	396	hypothetical protein
NA	0	0	NA	MdSGHV005	210	hypothetical protein
NA	0	0	NA	MdSGHV006	219	hypothetical protein
NA	1	126	NA	MdSGHV007	162	hypothetical protein
NA	0	0	NA	MdSGHV008	252	hypothetical protein
NA	0	0	NA	MdSGHV009	255	hypothetical protein
NA	0	0	NA	MdSGHV010	771	mitochondrial carrier protein
NA	0	0	NA	MdSGHV011	513	dihydrofolate reductase
NA	0	0	NA	MdSGHV012	885	thymidylate synthase
NA	0	0	NA	MdSGHV013	1935	hypothetical protein
NA	0	0	NA	MdSGHV014	750	molybdopterin oxidoreductase
NA	0	0	NA	MdSGHV015	900	hypothetical protein
NA	0	0	NA	MdSGHV016	1500	hypothetical protein
NA	0	0	NA	MdSGHV017	1662	hypothetical protein
NA	0	0	NA	MdSGHV018	702	hypothetical protein
NA	0	0	NA	MdSGHV019	678	hypothetical protein
NA	0	0	NA	MdSGHV020	315	hypothetical protein
NA	0	0	NA	MdSGHV021	1935	hypothetical protein
NA	0	0	NA	MdSGHV022	1032	hypothetical protein
NA	0	0	NA	MdSGHV023	771	hypothetical protein
NA	0	0	NA	MdSGHV024	387	hypothetical protein
NA	0	0	NA	MdSGHV025	1131	hypothetical protein
NA	0	0	NA	MdSGHV026	183	hypothetical protein
NA	0	0	NA	MdSGHV027	510	hypothetical protein
NA	0	0	NA	MdSGHV028	1146	hypothetical protein
NA	0	0	pif-1	MdSGHV029	1935	pif-1
NA	0	0	NA	MdSGHV030	2079	hypothetical protein
NA	0	0	NA	MdSGHV031	201	hypothetical protein
NA	0	0	NA	MdSGHV032	1182	hypothetical protein
NA	0	0	NA	MdSGHV033	1494	putative vacuolar sorting ATPase
NA	0	0	NA	MdSGHV034	195	hypothetical protein
