GOA	RepOver	RepCov	Gene	Locus	GeneLen	Product
NA	0	0	NA	SP38_1	207	hypothetical protein
NA	0	0	NA	SP38_2	435	hypothetical protein
NA	0	0	NA	SP38_3	315	hypothetical protein
NA	0	0	NA	SP38_4	198	hypothetical protein
NA	0	0	NA	SP38_5	183	hypothetical protein
NA	0	0	NA	SP38_6	351	hypothetical protein
NA	0	0	NA	SP38_7	222	hypothetical protein
NA	0	0	NA	SP38_8	210	hypothetical protein
NA	0	0	NA	SP38_9	378	hypothetical protein
NA	0	0	NA	SP38_10	177	hypothetical protein
NA	0	0	NA	SP38_11	354	hypothetical protein
NA	0	0	NA	SP38_12	114	hypothetical protein
NA	0	0	NA	SP38_13	192	hypothetical protein
NA	0	0	NA	SP38_14	168	hypothetical protein
NA	0	0	NA	SP38_15	870	hypothetical protein
NA	0	0	NA	SP38_16	261	hypothetical protein
NA	0	0	NA	SP38_17	351	hypothetical protein
NA	0	0	NA	SP38_18	204	hypothetical protein
NA	0	0	NA	SP38_19	141	hypothetical protein
NA	0	0	NA	SP38_20	126	hypothetical protein
NA	0	0	NA	SP38_21	639	hypothetical protein
NA	0	0	NA	SP38_22	306	hypothetical protein
NA	0	0	NA	SP38_23	696	hypothetical protein
NA	0	0	NA	SP38_24	345	hypothetical protein
NA	0	0	NA	SP38_25	1257	DNA polymerase
NA	0	0	NA	SP38_26	426	DNA polymerase
NA	0	0	NA	SP38_27	438	DNA polymerase
NA	0	0	NA	SP38_28	933	DNA polymerase
NA	0	0	NA	SP38_29	249	hypothetical protein
NA	0	0	NA	SP38_30	369	hypothetical protein
NA	0	0	NA	SP38_31	207	hypothetical protein
NA	0	0	NA	SP38_32	558	hypothetical protein
NA	0	0	NA	SP38_33	546	hypothetical protein
NA	0	0	NA	SP38_34	459	hypothetical protein
NA	0	0	NA	SP38_35	318	hypothetical protein
NA	0	0	NA	SP38_36	153	hypothetical protein
NA	0	0	NA	SP38_37	1194	hypothetical protein
NA	0	0	NA	SP38_38	687	hypothetical protein
NA	0	0	NA	SP38_39	156	hypothetical protein
NA	0	0	NA	SP38_40	234	hypothetical protein
NA	0	0	NA	SP38_41	135	tRNA-undetermined
NA	0	0	NA	SP38_42	201	hypothetical protein
NA	0	0	NA	SP38_43	114	hypothetical protein
NA	0	0	NA	SP38_44	162	hypothetical protein
NA	0	0	NA	SP38_45	255	hypothetical protein
NA	0	0	NA	SP38_46	318	hypothetical protein
NA	0	0	NA	SP38_47	198	hypothetical protein
NA	0	0	NA	SP38_48	630	baseplate wedge subunit
NA	0	0	NA	SP38_49	1101	baseplate wedge subunit
NA	0	0	NA	SP38_50	330	hypothetical protein
NA	0	0	NA	SP38_51	381	hypothetical protein
NA	0	0	NA	SP38_52	1191	hypothetical protein
NA	0	0	NA	SP38_53	738	hypothetical protein
NA	0	0	NA	SP38_54	369	hypothetical protein
NA	0	0	NA	SP38_55	1398	tail fibers protein
NA	0	0	NA	SP38_56	624	hypothetical protein
NA	0	0	NA	SP38_57	537	tail fibers protein
NA	0	0	NA	SP38_58	486	tail fibers protein
NA	0	0	NA	SP38_59	351	hypothetical protein
NA	0	0	NA	SP38_60	450	tail fibers protein
NA	0	0	NA	SP38_61	459	tailspike protein
NA	0	0	NA	SP38_62	870	hypothetical protein
NA	0	0	NA	SP38_63	714	hypothetical protein
NA	0	0	NA	SP38_64	2313	tail fibers protein
NA	0	0	NA	SP38_65	120	hypothetical protein
NA	0	0	NA	SP38_66	2322	virulence-associated VriC protein
NA	0	0	NA	SP38_67	1395	virulence-associated VriC protein
NA	0	0	NA	SP38_68	834	virulence-associated VriC protein
NA	0	0	NA	SP38_69	402	hypothetical protein
NA	0	0	NA	SP38_70	222	hypothetical protein
NA	0	0	NA	SP38_71	411	neck protein
NA	0	0	NA	SP38_72	201	neck protein
NA	0	0	NA	SP38_73	213	hypothetical protein
NA	0	0	NA	SP38_74	546	neck protein
NA	0	0	NA	SP38_75	384	proximal tail sheath stabilization protein
NA	0	0	NA	SP38_76	261	proximal tail sheath stabilization protein
NA	0	0	NA	SP38_77	471	proximal tail sheath stabilization protein
NA	0	0	NA	SP38_78	1383	terminase large subunit
NA	0	0	NA	SP38_79	804	terminase DNA packaging enzyme large subunit
NA	0	0	NA	SP38_80	495	tail sheath protein
NA	0	0	NA	SP38_81	1248	tail sheath protein
NA	0	0	NA	SP38_82	405	hypothetical protein
NA	0	0	NA	SP38_83	534	tail tube monomer
NA	0	0	NA	SP38_84	462	portal vertex protein of head
NA	0	0	NA	SP38_85	234	portal vertex protein of head
NA	0	0	NA	SP38_86	615	portal vertex
NA	0	0	NA	SP38_87	375	portal vertex of the head
NA	0	0	NA	SP38_88	171	hypothetical protein
NA	0	0	NA	SP38_89	318	hypothetical protein
NA	0	0	NA	SP38_90	420	prohead core and protease
NA	0	0	NA	SP38_91	219	prohead core scaffold and protease
NA	1	34	NA	SP38_92	774	prohead assembly protein
NA	0	0	NA	SP38_93	174	major head protein
NA	0	0	NA	SP38_94	1125	major head protein
NA	0	0	NA	SP38_95	237	hypothetical protein
NA	0	0	NA	SP38_96	219	hypothetical protein
NA	0	0	NA	SP38_97	195	hypothetical protein
NA	0	0	NA	SP38_98	231	hypothetical protein
NA	0	0	NA	SP38_99	216	hypothetical protein
NA	0	0	NA	SP38_100	126	hypothetical protein
NA	0	0	NA	SP38_101	375	hypothetical protein
NA	0	0	NA	SP38_102	255	hypothetical protein
NA	0	0	NA	SP38_103	255	hypothetical protein
NA	0	0	NA	SP38_104	171	hypothetical protein
NA	0	0	NA	SP38_105	318	hypothetical protein
NA	0	0	NA	SP38_106	1428	hypothetical protein
NA	0	0	NA	SP38_107	609	hypothetical protein
NA	0	0	NA	SP38_108	498	tail completion protein
NA	0	0	NA	SP38_109	456	putative DNA repair/recombination protein
NA	0	0	NA	SP38_110	783	hypothetical protein
NA	0	0	NA	SP38_111	144	hypothetical protein
NA	0	0	NA	SP38_112	357	RNA-DNA and DNA-DNA helicase
NA	0	0	NA	SP38_113	738	DNA helicase
NA	0	0	NA	SP38_114	162	RNA-DNA and DNA-DNA helicase
NA	0	0	NA	SP38_115	366	hypothetical protein
NA	0	0	NA	SP38_116	576	sliding clamp DNA polymerase accessory protein
NA	0	0	NA	SP38_117	990	replication factor C small subunit
NA	0	0	NA	SP38_118	360	DNA polymerase clamp loader subunit
NA	0	0	NA	SP38_119	465	endoribonulcease translational repressor of early genes
NA	0	0	NA	SP38_120	828	hypothetical protein
NA	0	0	NA	SP38_121	1224	hypothetical protein
NA	0	0	NA	SP38_122	1902	hypothetical protein
NA	0	0	NA	SP38_123	135	hypothetical protein
NA	0	0	NA	SP38_124	372	hypothetical protein
NA	0	0	NA	SP38_125	252	hypothetical protein
NA	0	0	NA	SP38_126	873	hypothetical protein
NA	0	0	NA	SP38_127	2175	hypothetical protein
NA	0	0	NA	SP38_128	327	hypothetical protein
NA	0	0	NA	SP38_129	240	hypothetical protein
NA	0	0	NA	SP38_130	279	hypothetical protein
